Reaction Summary
RAM Steel
15.03.00.000
HFH
DataBase: 14136 - 222 Milwaukee 2016.12.01 (2)
Building Code: IBC
Steel Code: AISC 360-10 LRFD
02/02/17 11:39:44
STEEL BEAM REACTION SUMMARY:
LOAD COMBINATIONS
1.40DL + 0.00LL
1.20DL + 1.60LL
Floor Type: LEVEL 2
 Beam,, Beam, Supports, (ft),,-, Unfactored(kips),-,,-, Factored (kips),-
 No.,, Size, X, Y, DL, +LL, -LL, +TOTAL, -TOTAL
       55,,W10X12         , 119.25,  54.00,     4.3,     1.0,     0.0,     6.7,     0.0
,,, 133.85,  54.00,     4.3,     1.0,     0.0,     6.7,     0.0
       56,,W8X10          , 133.85,  54.00,     0.0,     0.0,     0.0,     0.0,     0.0
,,, 138.85,  54.00,     0.0,     0.0,     0.0,     0.0,     0.0
       57,,W8X10          , 138.85,  54.00,     0.1,     0.0,     0.0,     0.1,     0.0
,,, 156.00,  54.00,     0.1,     0.0,     0.0,     0.1,     0.0
       60,,W10X12         , 119.25,  48.37,     3.1,     1.6,     0.0,     6.3,     0.0
,,, 133.85,  48.37,     3.1,     1.6,     0.0,     6.3,     0.0
       69,,W8X10          , 138.85,  42.75,     0.1,     0.0,     0.0,     0.1,     0.0
,,, 138.85,  54.00,     0.1,     0.0,     0.0,     0.1,     0.0
       73,,W16X31         , 133.85,  34.00,     9.5,     4.9,     0.0,    19.3,     0.0
,,, 133.85,  54.00,     9.0,     4.6,     0.0,    18.2,     0.0
       74,,W10X12         , 119.25,  42.75,     3.9,     2.1,     0.0,     8.1,     0.0
,,, 133.85,  42.75,     3.9,     2.1,     0.0,     8.1,     0.0
       75,,W16X26         , 133.85,  42.75,    10.9,     5.6,     0.0,    22.1,     0.0
,,, 156.00,  42.75,    10.4,     5.4,     0.0,    21.2,     0.0
Floor Type: MEZZ
 Beam,, Beam, Supports, (ft),,-, Unfactored(kips),-,,-, Factored (kips),-
 No.,, Size, X, Y, DL, +LL, -LL, +TOTAL, -TOTAL
